"filename", "language", "HTML", "JSON", "PHP", "Markdown", "JavaScript", "CSS", "XML", "YAML", "SCSS", "Ruby", "Less", "Pug", "comment", "blank", "total"
"c:\xampp\htdocs\exMed\application\cache\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\exMed\application\config\autoload.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 9, 136
"c:\xampp\htdocs\exMed\application\config\config.php", "PHP", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 443, 31, 524
"c:\xampp\htdocs\exMed\application\config\constants.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 5, 86
"c:\xampp\htdocs\exMed\application\config\database.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 3, 97
"c:\xampp\htdocs\exMed\application\config\doctypes.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\xampp\htdocs\exMed\application\config\foreign_chars.php", "PHP", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 115
"c:\xampp\htdocs\exMed\application\config\hooks.php", "PHP", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 14
"c:\xampp\htdocs\exMed\application\config\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\exMed\application\config\memcached.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 20
"c:\xampp\htdocs\exMed\application\config\migration.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 7, 85
"c:\xampp\htdocs\exMed\application\config\mimes.php", "PHP", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 185
"c:\xampp\htdocs\exMed\application\config\profiler.php", "PHP", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 15
"c:\xampp\htdocs\exMed\application\config\routes.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 2, 55
"c:\xampp\htdocs\exMed\application\config\smileys.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 65
